neutral	oid	case_name	nw_cite	witnesses	status	notes	sample_context
2015 ND 271	19107	State v. Gackle	871 N.W.2d 589	4	AUTO		ges the issue he raises has.been decided' by this Court in *State v. Gackle,* 2015 ND 271, ¶ 5, 871 
2018 ND 24	19284	Horvath v. State	905 N.W.2d 734	4	HOLD	WINDOW:NO_WINDOW	"the defendant is entitled to an evidentiary hearing."" *Horvath v. State* , 2018 ND 24 , ¶ 8, 905 N.W"
2018 ND 48	19316	Rebenitsch v. Rebenitsch	907 N.W.2d 41	4	HOLD	WINDOW:NO_WINDOW	sibility under the clearly erroneous standard. *Rebenitsch v. Rebenitsch* , 2018 ND 48 , ¶ 4, 907 N.
2018 ND 20	19273	State v. Montgomery	905 N.W.2d 754	4	HOLD	WINDOW:NO_WINDOW	"y to *414 the manifest weight of the evidence."" *State v. Montgomery* , 2018 ND 20 , ¶ 4, 905 N.W.2d"
2018 ND 26	19292	Wieland v. City of Fargo	905 N.W.2d 764	4	HOLD	WINDOW:NO_WINDOW	ecessary contradicts North Dakota law. [¶5] In *Brandt v. City of Fargo* , 2018 ND 26 , ¶ 11, 905 N.
2019 ND 280	19426	Continental Resources v. N.D. Dep't. of 	935 N.W.2d 780	4	HOLD	WINDOW:NO_WINDOW	lief can be granted de novo. Cont’l Res., Inc. v. N.D. Dep’t of Envtl. Quality, 2019 ND 280, ¶ 8 , 9
2018 ND 14	19248	Glass v. Glass	906 N.W.2d 81	4	HOLD	WINDOW:NO_WINDOW	nkel is precluded from raising those issue in this appeal. See Glass v. Glass, 2018 ND 14, ¶¶ 5, 8 ,
2019 ND 264	19410	Matter of Emelia Hirsch Trust	935 N.W.2d 255	4	HOLD	WINDOW:NO_WINDOW	tion order revisited have been unsuccessful. See Matter of Emelia Hirsch Trust, 2019 ND 264, 935 N.W
2019 ND 273	19419	Hughes v. Olheiser Masonry, et al.	935 N.W.2d 530	4	HOLD	WINDOW:NO_WINDOW	v. State, 2020 ND 20, ¶ 5 , 937 N.W.2d 564 ; Hughes v. Olheiser Masonry, Inc., 2019 ND 273, ¶ 5 , 93
2020 ND 53	19560	Schulke v. NDDOT	940 N.W.2d 303	4	AUTO		at ¶ 10. We give meaning to each word, phrase, and sentence. Schulke v. Panos, 2020 ND 53, ¶ 8 , 940
2020 ND 126	19480	Rustad v. Baumgartner	943 N.W.2d 786	4	AUTO		findings under the clearly erroneous standard of review. Rustad v. Baumgartner, 2020 ND 126, ¶ 8 , 9
2020 ND 110	19464	Sims v. Sims, et al.	943 N.W.2d 804	4	AUTO		left with a definite and firm conviction a mistake has been made. Sims v. Sims, 2020 ND 110, ¶ 12 , 
2020 ND 237	19528	State v. Gates	951 N.W.2d 223	4	AUTO		arguments not adequately articulated, supported, and briefed.” State v. Gates, 2020 ND 237, ¶ 8, 951
2020 ND 14	19488	Ellis v. WSI	937 N.W.2d 513	4	AUTO		ct matter jurisdiction over the appeal.” Ellis v. N.D. Workforce Safety & Ins., 2020 ND 14, ¶ 7, 937
2020 ND 254	19536	Rentz v. BNSF Railway Co.	952 N.W.2d 47	4	AUTO		for a new trial under the abuse of discretion standard. Rentz v. BNSF Ry. Co., 2020 ND 254, ¶ 12 , 9
2020 ND 264	19545	Twete v. Mullin, et al.	952 N.W.2d 91	4	AUTO		thority, parties to a lawsuit bear their own attorney’s fees.” Twete v. Mullin, 2020 ND 264, ¶ 4 , 9
2021 ND 74	19633	N.B. et al. v. Terwilliger, et al.	958 N.W.2d 487	4	AUTO		rict court cannot be raised for the first time on appeal.” N.B. v. Terwilliger, 2021 ND 74, ¶ 20 , 9
2021 ND 76	19634	Interest of J.O. (CONFIDENTIAL)	958 N.W.2d 149	4	AUTO		red the placement. Id. at ¶¶ 12-13. [¶17] In Interest of Guardianship of J.O., 2021 ND 76, ¶ 15, 958
2020 ND 270	19551	Interest of Buller	952 N.W.2d 106	4	AUTO		a sexually dangerous individual by clear and convincing evidence. In re Buller, 2020 ND 270, ¶ 14 , 
2020 ND 268	19549	State v. Hirschkorn	952 N.W.2d 225	4	AUTO		evidentiary ruling under an abuse of discretion standard. State v. Hirschkorn, 2020 ND 268, ¶ 6, 952
2021 ND 123	19589	City of Lincoln v. Schuler	962 N.W.2d 413	4	AUTO		t contrary to the manifest weight of the evidence.” City of Lincoln v. Schuler, 2021 ND 123, ¶ 6, 96
2019 ND 303	19450	Rath v. Rath	936 N.W.2d 538	4	AUTO		motions. See, e.g., Rath v. Rath, 2020 ND 96 , 942 N.W.2d 464 ; Rath v. Rath, 2019 ND 303 , 936 N.W.
2022 ND 236	19693	Interest of J.J.G., M.K.G. & O.J.G. (CON	982 N.W.2d 851	4	AUTO		t abuse its discretion when it terminated C.A.’s parental rights. In re J.J.G., 2022 ND 236, ¶ 9, 98
2022 ND 214	19688	Fercho v. Fercho, et al.	982 N.W.2d 540	4	AUTO		whether liquid or fixed, and the parties’ relative incomes.’” Fercho v. Fercho, 2022 ND 214, ¶ 37, 9
2022 ND 186	19680	Goff v. NDDOT	981 N.W.2d 909	4	AUTO		ed, concluding the hearing officer misinterpreted the ordinance. Goff v. Panos, 2022 ND 186, ¶ 12, 9
2023 ND 151	19740	Wootan v. State	994 N.W.2d 347	4	AUTO		35(a). Post-conviction relief proceedings are civil in nature. Wootan v. State, 2023 ND 151, ¶ 4, 99
2023 ND 121	19723	State v. Brame	993 N.W.2d 338	4	AUTO		d with Rule 11 of the North Dakota Rules of Criminal Procedure. State v. Brame, 2023 ND 121, ¶ 1 , 9
2023 ND 130	19730	State v. Knight	993 N.W.2d 528	4	AUTO		motion for a new trial under the abuse of discretion standard. State v. Knight, 2023 ND 130, ¶ 6, 99
2024 ND 4	20010	State v. Gonzalez	1 N.W.3d 919	4	AUTO		W.2d 380; State v. Larsen, 2023 ND 144, ¶ 6, 994 N.W.2d 194; State v. Gonzalez, 2024 ND 4, 1 N.W.3d 
2024 ND 16	19907	LAWC Holdings v. Vincent Watford	2 N.W.3d 672	4	AUTO		ndered and the judgment entered. LAWC Holdings, LLC v. Vincent Watford, L.L.C., 2024 ND 16, ¶ 13, 2 
2023 ND 206	19793	State v. Kovalevich	997 N.W.2d 628	4	AUTO		criminal actions or documents filed in criminal actions.” State v. Kovalevich, 2023 ND 206, ¶ 9, 997
2022 ND 160	19672	State v. Lyman	978 N.W.2d 734	4	HOLD	WINDOW:NO_WINDOW	otion.” Juries are presumed to follow the court’s instructions. State v. Lyman, 2022 ND 160, ¶ 8, 97
2023 ND 197	19784	Severance v. Howe	997 N.W.2d 99	4	AUTO		of statutory interpretation, are fully reviewable on appeal. Severance v. Howe, 2023 ND 197, ¶ 19, 9
2023 ND 240	19809	Williams v. Williams, et al.	999 N.W.2d 192	4	AUTO		efinite and firm conviction that a mistake has been made. Williams v. Williams, 2023 ND 240, ¶ 14, 9
2024 ND 121	19865	State v. Sargent (consolidated w/2023035	8 N.W.3d 278	4	AUTO		rgent, was charged with, and convicted of, the same offenses. State v. Sargent, 2024 ND 121, ¶ 1, 8 
2024 ND 28	19997	Disciplinary Board v. Spencer	3 N.W.3d 122	4	HOLD	WINDOW:NO_WINDOW	Spencer was suspended for 30 days with conditions. Disciplinary Bd. v. Spencer, 2024 ND 28, 3 N.W.3d
2024 ND 109	19851	SCS Carbon Transport v. SPLJ (cons. w/20	7 N.W.3d 268	4	HOLD	WINDOW:NO_WINDOW	s to treat it ‘as if it never were enacted.’” SCS Carbon Transp. LLC v. Malloy, 2024 ND 109, ¶ 7, 7 
2024 ND 124	19868	State v. Vervalen	8 N.W.3d 816	4	AUTO		it “extreme indifference” murder is non-cognizable); but see State v. Vervalen, 2024 ND 124, ¶ 7, 8 
2024 ND 76	20050	Estate of Kish	5 N.W.3d 814	4	AUTO		the requirements of N.D.R.Civ.P. 54(b) have been satisfied. In re Est. of Kish, 2024 ND 76, ¶ 6, 5 N
2025 ND 24	20230	State v. McCleary	16 N.W.3d 445	4	HOLD	WINDOW:NO_WINDOW	the statutes and the purposes for which they were enacted.” State v. McCleary, 2025 ND 24, ¶ 8, 16 N
2024 ND 213	19967	RMM Properties v. City of Minot	14 N.W.3d 31	4	HOLD	WINDOW:NO_WINDOW	law that is fully reviewable on appeal. RMM Props., L.L.L.P. v. City of Minot, 2024 ND 213, ¶ 8, 14 
2024 ND 42	20013	State v. Henderson	4 N.W.3d 223	4	AUTO		under the business records exception. N.D.R.Ev. 803(6); see State v. Henderson, 2024 ND 42, ¶¶ 18–19
2025 ND 12	20099	State v. Woodman	16 N.W.3d 164	4	HOLD	WINDOW:NO_WINDOW	nd (3) the error affects the defendant’s substantial rights.” State v. Woodman, 2025 ND 12, ¶ 5, 16 
2025 ND 27	20233	Almklov v. State	17 N.W.3d 583	4	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	Lindeman v. State, 2024 ND 228, ¶ 8, 14 N.W.3d 883; see also Almklov v. State, 2025 ND 27, ¶ 5, 17 N
2024 ND 127	19871	State v. Smith (consolidated w/20240004)	9 N.W.3d 683	4	AUTO		iew.” State v. Adams, 2024 ND 139, ¶ 25, 10 N.W.3d 87; see also State v. Smith, 2024 ND 127, ¶ 5, 9 
2025 ND 131	20112	Bang, et al. v. Continental Resources	23 N.W.3d 895	4	HOLD	WINDOW:NO_WINDOW	4 N.W.3d 69; In re D.J., 2011 ND 142, ¶ 10; see also Bang v. Cont’l Res., Inc., 2025 ND 131, ¶ 55, 2
2025 ND 68	20278	Kinden v. Kinden, et al.	19 N.W.3d 811	4	HOLD	WINDOW:NO_WINDOW	mary residential responsibility are reviewed for clear error. Kinden v. Kinden, 2025 ND 68, ¶ 16, 19
2025 ND 69	20279	Shively v. Shively	19 N.W.3d 824	4	HOLD	WINDOW:NO_WINDOW	g court to understand the factual basis for its decisions.” Shively v. Shively, 2025 ND 69, ¶ 4, 19 
1997 ND 121	18250	In the Interest of J.C.S., a Child	569 N.W.2d 288	3	AUTO	SHARED:['1997 ND 106', '1997 ND 121', '1997 ND 85', '1997 ND 87', '1997 ND 90']	"-24 citations: - ""1997 ND 121"" docket_number: ""960324"" --- State v. DeCoteau, 1997 ND 121, 569 N.W.2"
2001 ND 128	18382	Matrix v. TAG Investments       (Cross-r	636 N.W.2d 674	3	HOLD	WINDOW:OUT[2001-12-05..2001-12-20];SHARED:['2001 ND 117', '2001 ND 128']	sts under N.D.R.App. 38 and 39. *Matrix Properties Corp. v. TAG Investments,* 2001 ND 128, 636 N.W.2
2000 ND 100	18342	Bublitz, dba DC Marketing v. Tsang, dba 	617 N.W.2d 131	3	AUTO		iew of an alleged error, we will decline review of the issue. Bublitz v. Tsang, 2000 ND 100, ¶ 2, 61
2001 ND 117	18380	State v. Jensen                  (Consol	636 N.W.2d 674	3	HOLD	WINDOW:OUT[2001-12-05..2001-12-20];SHARED:['2001 ND 117', '2001 ND 128']	counsel. We addressed the issue of prosecutorial misconduct in State v. Jensen, 2001 ND 117, 636 N.W
2012 ND 233	18896	Interest of G.L.D. (CONFIDENTIAL) (cross	823 N.W.2d 786	3	AUTO	SHARED:['2012 ND 208', '2012 ND 233', '2012 ND 236', '2012 ND 250']	discharge from commitment as a sexually dangerous individual. *In re G.L.D.,* 2012 ND 233, ¶ 1, 823 
2011 ND 175	18813	State v. Curtiss	803 N.W.2d 834	3	AUTO	SHARED:['2011 ND 130', '2011 ND 174', '2011 ND 175']	position, and we summarily affirmed his conviction on appeal. State v. Curtiss, 2011 ND 175, 803 N.W
2015 ND 27	19106	State v. Beylund	861 N.W.2d 172	3	AUTO	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	e v. Nagel,* 2014 ND 224, ¶ 12, 857 N.W.2d 374. *See also State v. Beylund,* 2015 ND 27, ¶ 1, 861 N.
2015 ND 45	19117	State v. Harns	861 N.W.2d 173	3	AUTO	SHARED:['2015 ND 45', '2015 ND 50', '2015 ND 8']	y.” State v. Nagel, 2014 ND 224, ¶ 12, 857 N.W.2d 374. See also State v. Harns, 2015 ND 45, ¶ 1, 861
2014 ND 98	19051	Voisine v. State	859 N.W.2d 930	3	AUTO	SHARED:['2014 ND 178', '2014 ND 98']	discharge from commitment as sexually dangerous individual); Voisine v. State , 2014 ND 98, 859 N.W.
2014 ND 178	19017	Interest of Voisine (cross-ref. w/200901	859 N.W.2d 930	3	AUTO	SHARED:['2014 ND 178', '2014 ND 98']	marily affirming denial of petition for postconviction relief); In re Voisine , 2014 ND 178, 859 N.W
2018 ND 11	19244	Continental Resources, Inc. v. P&P Indus	906 N.W.2d 105	3	HOLD	WINDOW:NO_WINDOW	ecome the law of the case. *See* *Cont'l Res., Inc. v. P&P Indus., LLC I* , 2018 ND 11 , ¶ 16, 906 N
2017 ND 40	19220	Kovalevich v. State (Consolidated w/2016	891 N.W.2d 778	3	AUTO	SHARED:['2017 ND 12', '2017 ND 40', '2017 ND 58']	, and this Court affirmed the district court. *See* *Kovalevich v. State* , 2017 ND 40 , 891 N.W.2d 
2018 ND 47	19315	Winnie Development, LLLP, v. Reveling, e	907 N.W.2d 413	3	HOLD	WINDOW:NO_WINDOW	er than a common law dedication. [¶20] In *Winnie Dev. LLLP v. Reveling* , 2018 ND 47 , ¶ 8, 907 N.W
2018 ND 29	19295	Benson, et al. v. Feland Brothers Proper	906 N.W.2d 98	3	HOLD	WINDOW:NO_WINDOW	inger, 2002 ND 38, ¶ 7, 640 N.W.2d 454; see also Benson v. Feland Bros. Props., 2018 ND 29, ¶ 15, 90
2019 ND 259	19405	State v. Baltrusch	934 N.W.2d 886	3	AUTO		Kortum v. Johnson, 2010 ND 153, ¶ 10 , 786 N.W.2d 702 ; see State v. Baltrusch, 2019 ND 259, ¶ 6 , 9
2019 ND 292	19438	State v. Walker	936 N.W.2d 45	3	AUTO		"d by the victim."" N.D.C.C. § 12.1-32-08(1)[]; Rogers, at ¶ 23. State v. Walker, 2019 ND 292, ¶ 5, 93"
2020 ND 23	19525	Devore v. American Eagle Energy Corporat	937 N.W.2d 503	3	AUTO		xistence of a duty is a question of law. Devore v. American Eagle Energy Corp., 2020 ND 23, ¶ 18, 93
2019 ND 286	19432	City of Fargo v. Wieland	936 N.W.2d 55	3	AUTO		t. [¶3] Wieland appealed from the amended judgment. City of Fargo v. Wieland, 2019 ND 286 , 936 N.W.
2019 ND 275	19421	Krump-Wooton v. Krump	935 N.W.2d 534	3	HOLD	WINDOW:NO_WINDOW	Appellate Procedure is discretionary with this Court.” Krump-Wootton v. Krump, 2019 ND 275 , ¶ 7, 93
2020 ND 20	19514	Hondl v. State, et al.	937 N.W.2d 564	3	AUTO		decision granting a motion to dismiss is reviewed de novo. See Hondl v. State, 2020 ND 20, ¶ 5 , 937
2020 ND 144	19491	State v. Pouliot	945 N.W.2d 246	3	AUTO		[¶4] We summarily affirm under N.D.R.App.P. 35.1(a)(7). See State v. Pouliot, 2020 ND 144, ¶ 12 , 94
2020 ND 140	19489	Dale Exploration, et al. v. Hiepler, et 	945 N.W.2d 306	3	AUTO		pulously and fully carried out our mandate’s terms. Dale Expl., LLC v. Hiepler, 2020 ND 140, ¶ 13, 9
2020 ND 76	19570	Christianson v. NDDOT	941 N.W.2d 529	3	AUTO		based on erroneously admitted evidence. Christianson v. N.D. Dep’t of Transp., 2020 ND 76, 941 N.W.2
2020 ND 89	19576	Feltman, et al. v. Gaustad, et al.	942 N.W.2d 844	3	AUTO		stion of law which we review de novo on the entire record.” Feltman v. Gaustad, 2020 ND 89, ¶ 7, 942
2020 ND 31	19555	State v. Jensen	939 N.W.2d 1	3	AUTO		determination, or if it misinterprets or misapplies the law. State v. Jensen, 2020 ND 31, ¶ 4 , 939 
2019 ND 306	19453	Palmer, et al. v. Gentek Building Produc	936 N.W.2d 552	3	AUTO		es under federal fee-shifting statutes. See Palmer v. Gentek Bldg. Prod., Inc., 2019 ND 306, ¶ 29, 9
2020 ND 117	19471	Morales v. State	943 N.W.2d 761	3	AUTO		placed in the same position as before entry of the judgment.” Morales v. State, 2020 ND 117, ¶ 4, 94
2018 ND 25	19291	Dixon v. Dixon	905 N.W.2d 748	3	HOLD	WINDOW:NO_WINDOW	aled. This Court reversed and remanded for further proceedings. Dixon v. Dixon, 2018 ND 25, ¶ 21 , 9
2018 ND 15	19251	State v. Rivera (consolidated w/20170235	905 N.W.2d 739	3	HOLD	WINDOW:NO_WINDOW	oundabout. That is the very definition of statutory ambiguity. State v. Rivera, 2018 ND 15, ¶ 4, 905
2021 ND 3	19622	Brendel Construction v. WSI	953 N.W.2d 612	3	AUTO		Act, N.D.C.C. ch. 28-32. Brendel Constr., Inc. v. N.D. Workforce Safety & Ins., 2021 ND 3, ¶ 10, 953
2021 ND 99	19637	PLS Services v. Clear Creek Retirement P	960 N.W.2d 780	3	AUTO		ew de novo on the entire record. PLS Servs., LLC v. Valueplus Consulting, LLC, 2021 ND 99, ¶ 13 , 96
2020 ND 183	19507	State v. M.J.W. (consol. w/20200009-2020	947 N.W.2d 906	3	AUTO		greements. 2 [¶8] The State’s right to appeal is statutory. State v. M.J.W., 2020 ND 183 , ¶ 5, 947 
2021 ND 166	19600	WSI v. Badger Roustabouts	964 N.W.2d 514	3	AUTO		weight of the evidence from the entire record.” WSI v. Badger Roustabouts, LLC, 2021 ND 166, ¶ 8 , 9
2021 ND 39	19626	WSI v. Sandberg, et al.	956 N.W.2d 342	3	AUTO		Agencies Practice Act, N.D.C.C. ch. 28-32. Workforce Safety & Ins. v. Sandberg, 2021 ND 39, ¶ 9, 956
2021 ND 57	19631	Cass County Joint Water Resource Distric	956 N.W.2d 395	3	AUTO		District’s use. [¶24] In Cass County Joint Water Resource District v. Aaland, 2021 ND 57 , ¶ 13, 956
2020 ND 129	19483	Matter of Emelia Hirsch Trust	944 N.W.2d 334	3	AUTO		lia Hirsch Trust, 2021 ND 142 , 963 N.W.2d 259 ; Matter of Emelia Hirsch Trust, 2020 ND 129 , 944 N.
2022 ND 27	19694	Christiansen v. NDDOT	969 N.W.2d 709	3	AUTO		ature acts with purpose and does not perform idle acts.” Christiansen v. Panos, 2022 ND 27, ¶ 9, 969
2022 ND 65	19705	St. Alexius Medical Center v. Nesvig, et	971 N.W.2d 878	3	HOLD	CONFLICT:['971 N.W.2d 878', '971 N.W.3d 878']	where no adequate alternative remedy exists.” St. Alexius Med. Ctr. v. Nesvig, 2022 ND 65, ¶ 6 , 971
2022 ND 140	19653	Allery v. Whitebull	977 N.W.2d 726	3	AUTO		the burden of establishing sufficient grounds for relief. Allery v. Whitebull, 2022 ND 140, ¶ 7 , 97
2022 ND 155	19667	State, et al. v. Faber	978 N.W.2d 652	3	HOLD	WINDOW:NO_WINDOW	subject to the clearly erroneous standard of review.” Cty. of Sargent v. Faber, 2022 ND 155 , ¶ 6, 9
2022 ND 118	19642	Larson v. WSI	975 N.W.2d 552	3	AUTO		pose and does not perform idle acts.” Larson v. N.D. Workforce Safety and Ins., 2022 ND 118, ¶ 21 , 
2022 ND 122	19644	Lehnerz, et al. v. Christopher	975 N.W.2d 585	3	AUTO		or to conduct a hearing absent an abuse of discretion.” Lehnerz v. Christopher, 2022 ND 122, ¶ 4 , 9
2022 ND 204	19686	Kaspari v. Kaspari	982 N.W.2d 291	3	AUTO		rrelated and intertwined, and must be considered together.” Kaspari v. Kaspari, 2022 ND 204, ¶ 16, 9
2023 ND 19	19776	Interest of G.V. (CONFIDENTIAL) (consoli	985 N.W.2d 655	3	AUTO		good cause as “a legally sufficient reason.” Interest of Guardianship of G.V., 2023 ND 19, ¶ 19, 985
2023 ND 47	19820	State v. Watts	988 N.W.2d 254	3	AUTO		the alleged error will only be reviewed for obvious error. See State v. Watts, 2023 ND 47, ¶ 19 , 98
2023 ND 161	19746	Disciplinary Board v. Pilch	994 N.W.2d 417	3	AUTO		ed for one year, both effective August 17, 2023. See Disciplinary Bd. v. Pilch, 2023 ND 161, 994 N.W
2023 ND 162	19747	Disciplinary Board v. Pilch	994 N.W.2d 390	3	AUTO		inary Bd. v. Pilch, 2023 ND 161, 994 N.W.2d 417; See Disciplinary Bd. v. Pilch, 2023 ND 162, 994 N.W
2023 ND 156	19741	Sayler v. Sayler	994 N.W.2d 351	3	AUTO		y is analyzed under the clearly erroneous standard of review. Sayler v. Sayler, 2023 ND 156, ¶ 42, 9
2023 ND 191	19778	Albertson v. Albertson	996 N.W.2d 662	3	AUTO		ient findings to enable this Court to review the order. Albertson v. Albertson, 2023 ND 191, ¶ 1 , 9
2024 ND 168	19916	Ebel, et al. v. Engelhart, et al.	11 N.W.3d 10	3	HOLD	WINDOW:NO_WINDOW	onable conduct under all the circumstances of the case.” *16 Ebel v. Engelhart, 2024 ND 168, ¶ 27, 1
2024 ND 159	19906	N.D. Energy Services v. Lime Rock Resour	10 N.W.3d 591	3	AUTO		as the highest bidder”); N.D. Energy Servs., LLC v. Lime Rock Res. III-A, L.P., 2024 ND 159, ¶¶ 22-2
2024 ND 10	19841	Estate of Lindberg	2 N.W.3d 220	3	AUTO		of an appeal, we must first confirm we have jurisdiction.” Estate of Lindberg, 2024 ND 10, ¶ 6, 2 N.
2024 ND 27	19996	Keller v. Keller, et al.	2 N.W.3d 695	3	AUTO		Nelson v. Nelson, 2020 ND 130, ¶ 12, 944 N.W.2d 335; see also Keller v. Keller, 2024 ND 27, ¶ 13, 2 
2023 ND 235	19805	Powell, et al. v. Statoil Oil & Gas	999 N.W.2d 203	3	AUTO		he moving party to judgment as a matter of law. Powell v. Statoil Oil & Gas LP, 2023 ND 235, ¶ 7, 99
2024 ND 78	20052	State v. Hartson	6 N.W.3d 639	3	AUTO		rties must request and object to specific jury instructions.” State v. Hartson, 2024 ND 78, ¶ 19, 6 
2024 ND 85	20060	Harris v. Oasis Petroleum, et al.	6 N.W.3d 611	3	AUTO		s a question of law subject to de novo review. Harris v. Oasis Petroleum, Inc., 2024 ND 85, ¶ 11, 6 
2024 ND 29	19998	State v. Fischer	3 N.W.3d 142	3	HOLD	WINDOW:NO_WINDOW	add the costs of prosecution as an additional punishment. See State v. Fischer, 2024 ND 29, ¶ 14, 3 
2024 ND 88	20063	SPOTTIE v. BAIUL-FARINA, et al.	6 N.W.3d 582	3	AUTO		l unless that discretion has been abused.” Spottie, Inc. v. Baiul-Farina, Ltd., 2024 ND 88, ¶ 11, 6 
2024 ND 170	19919	Gaddie v. State	11 N.W.3d 21	3	HOLD	WINDOW:NO_WINDOW	misconduct, and (2) the misconduct had a prejudicial effect.” Gaddie v. State, 2024 ND 170, ¶ 9, 11 
2024 ND 86	20061	Glaum v. State	6 N.W.3d 603	3	HOLD	CONFLICT:['6 N.W.3d 1', '6 N.W.3d 603']	edure Act[.]” Kovalevich, 2023 ND 206, ¶¶ 10, 12-13; see, e.g., Glaum v. State, 2024 ND 86, ¶¶ 9-10,
2024 ND 211	19965	State v. Villazana	14 N.W.3d 76	3	HOLD	WINDOW:NO_WINDOW	s evidentiary ruling under an abuse of discretion standard. State v. Villazana, 2024 ND 211, ¶ 9, 14
2020 ND 135	19485	Brown v. Brown	945 N.W.2d 269	3	AUTO		court’s manner of conducting a hearing for abuse of discretion. Brown v. Brown, 2020 ND 135, ¶ 5, 94
2024 ND 147	19893	Ritter v. Ritter	10 N.W.3d 75	3	AUTO		rstanding the court’s rationale in awarding spousal support.” Ritter v. Ritter, 2024 ND 147, ¶ 24, 1
2024 ND 154	19901	Anderson v. Foss, et al.	10 N.W.3d 570	3	AUTO		s of discretion subject to the abuse of discretion standard.” Anderson v. Foss, 2024 ND 154, ¶ 6, 10
2024 ND 196	19947	Edison v. Edison	13 N.W.3d 110	3	HOLD	WINDOW:NO_WINDOW	port calculation when an obligor is self-employed, see, e.g., Edison v. Edison, 2024 ND 196, ¶¶ 14, 
2024 ND 175	19924	State v. Rolland	11 N.W.3d 761	3	HOLD	WINDOW:NO_WINDOW	contributing to the deprivation or delinquency of a minor. In State v. Rolland, 2024 ND 175, 11 N.W.
2024 ND 215	19969	Chase v. State	14 N.W.3d 37	3	HOLD	WINDOW:NO_WINDOW	ngs are governed by the North Dakota Rules of Civil Procedure.” Chase v. State, 2024 ND 215, ¶ 16, 1
2024 ND 219	19973	State v. Thesing	14 N.W.3d 574	3	HOLD	WINDOW:NO_WINDOW	tions to relevant authorities, an argument is without merit.” State v. Thesing, 2024 ND 219, ¶ 16, 1
2023 ND 179	19765	Williamson v. State	996 N.W.2d 312	3	AUTO		Williamson’s application, which we summarily affirmed. See Williamson v. State, 2023 ND 179, 996 N.W
2024 ND 20	19952	Stacey Jean Dimmler v. Dustin Scott Dimm	2 N.W.3d 652	3	AUTO		g court to understand the factual basis for its decisions.” Dimmler v. Dimmler, 2024 ND 20, ¶ 25, 2 
2024 ND 231	19987	State v. Eagleman	14 N.W.3d 912	3	HOLD	CONFLICT:['14 N.W.3d 91', '14 N.W.3d 912'];WINDOW:NO_WINDOW	laterally challenging a judgment of conviction or sentence.” State v. Eagleman, 2024 ND 231, ¶ 6, 14
2024 ND 19	19940	Lyons v. State	2 N.W.3d 679	3	AUTO		the district court order under N.D.R.App.P. 35.1(a)(4) and (7). Lyons v. State, 2024 ND 19, ¶ 11, 2 
2024 ND 84	20059	Field v. Field, et al.	6 N.W.3d 595	3	AUTO		ript of the change of plea hearing for this Court’s review. See Field v. Field, 2024 ND 84, ¶ 10, 6 
2025 ND 21	20199	Meiers v. NDDOT	16 N.W.3d 423	3	HOLD	WINDOW:NO_WINDOW	es for methods of authentication of evidence.” Meiers v. N.D. Dep’t of Transp., 2025 ND 21, ¶ 39, 16
2024 ND 34	20004	Garaas, et al. v. Petro-Hunt	3 N.W.3d 156	3	HOLD	WINDOW:NO_WINDOW	hose remedies precludes making a claim in court.” Garaas v. Petro-Hunt, L.L.C., 2024 ND 34, ¶ 8, 3 N
2025 ND 53	20262	Ceynar v. Ceynar	18 N.W.3d 613	3	HOLD	WINDOW:NO_WINDOW	fter the marriage, and such other matters as may be material. Ceynar v. Ceynar, 2025 ND 53, ¶ 5, 18 
2025 ND 32	20239	Walden v. Walden	17 N.W.3d 521	3	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	ng or short term, the division of property must be equitable. Walden v. Walden, 2025 ND 32, ¶ 21, 17
2025 ND 63	20273	State v. Helland	18 N.W.3d 882	3	HOLD	WINDOW:NO_WINDOW	934 N.W.2d 531). This Court reviews questions of law de novo. State v. Helland, 2025 ND 63, ¶ 23, 18
2025 ND 3	20236	State v. Thompson	16 N.W.3d 204	3	HOLD	WINDOW:NO_WINDOW	ourts with greater control in the admissibility of evidence. State v. Thompson, 2025 ND 3, ¶ 5, 16 N
2025 ND 57	20266	Estate of Kautzman	19 N.W.3d 272	3	HOLD	WINDOW:NO_WINDOW	s v. Lund, 2025 ND 47, ¶ 8, 17 N.W.3d 828; see also Matter of Est. of Kautzman, 2025 ND 57, ¶ 13, 19
2024 ND 113	19856	Roth, et al. v. Meyer, et al.	9 N.W.3d 469	3	AUTO		and for further proceedings consistent with this opinion. I In Roth v. Meyer, 2024 ND 113, 9 N.W.3d 
2025 ND 41	20249	State, et al. v. Carrier	17 N.W.3d 577	3	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	dification of child support” must be provided by the obligor. State v. Carrier, 2025 ND 41, ¶ 9, 17 
2024 ND 141	19887	Rostvet v. Gerszewski  (consolidated w/2	10 N.W.3d 104	3	AUTO		onal mental process leading to a reasoned determination. Gerszewski v. Rostvet, 2024 ND 141, ¶ 4, 10
2023 ND 178	19764	State v. Cahoon	996 N.W.2d 313	3	AUTO		guilt when viewed in the light most favorable to the verdict.” State v. Cahoon, 2023 ND 178, ¶ 1, 99
