citation,version_id,prev,next,context
N.D.C.C. § 35-15-03,13343,in,duty,labor performed or materials furnished as specified in section duty of the owner or agent to furnish the contr
N.D.C.C. § 35-21-05,13392,of,facie," fee as prescribed in subdivision d of subsection 1 of section facie evidence, in the courts of this state, of"
N.D.C.C. § 35-31-01,13482,under,, effective to secure a priority over liens filed under section
N.D.C.C. § 36-01-36,13581,in,,g this section is subject to the remedies set forth in section
N.D.C.C. § 36-21.2-07,13706,under,required,"ting this chapter, the owner of an animal seized under section required notifications, attorney's fees, court "
N.D.C.C. § 37-04-16,13848,of,guard,r the retirement of an officer until the provisions of section guard caused by the operation of this section m
N.D.C.C. § 37-17.3-12,14044,of,interoperable,litical subdivision in accordance with subsection 2 of section interoperable radio network fund.
N.D.C.C. § 37-19.1-03,14082,under,, to the employment preference given to a veteran under section
N.D.C.C. § 37-27-02,14094,and,,"ousand dollars, except as provided in this section and section"
N.D.C.C. § 38-08-04,14162,in,which,missioner which wells are stripper wells as defined in section which wells involve secondary or tertiary recov
N.D.C.C. § 38-13.1-03,14316,in,,held in trust and have filed the notice as provided in section
N.D.C.C. § 38-14.1-29,14349,by,public,lty may be assessed by the commission as authorized by section public hearing pursuant to the procedures speci
N.D.C.C. § 38-14.1-29,14349,of,which," decision pursuant to subdivision g of subsection 3 of section which is warranted, incorporating, when appropr"
N.D.C.C. § 38-14.1-35,14355,under,commission,o has participated in administrative proceedings under section commission. b. To any person with an interest w
N.D.C.C. § 38-14.1-35,14355,under,commission,sion to suspend or revoke the permittee's permit under section commission implementing a final decision imposi
N.D.C.C. § 38-14.1-35,14355,under,affected,"implementing a final decision imposing a penalty under section affected by such order or by any modification, "
N.D.C.C. § 38-14.2-04,14366,of,fulfill,"ance with subdivisions a, b, and c, of subsection 1 of section fulfill the requirements of this subsection is "
N.D.C.C. § 38-18.1-05,14410,in,explanation, after first publication of the notice provided for in section explanation of the factual and legal basis for 
N.D.C.C. § 38-18.1-06,14411,in,b,'s records for the existence of any uses as defined in section b. The clerk of court's records for the existen
N.D.C.C. § 38-22-20,14456,in,,"entering such contracts, follow the process set out in section"
N.D.C.C. § 39-01-06,14494,of,person,"ollects or receives any expense moneys in violation of section person, and if that person's office or position"
N.D.C.C. § 39-04-10.2,14607,of,,ing a parking certificate issued under subsection 4 of section
N.D.C.C. § 39-04-39,14664,of,dollars,he registration of farm vehicles under subsection 5 of section dollars.
N.D.C.C. § 39-05-22,14721,of,or,manufactured home as real estate under subsection 6 of section or certificate of title.
N.D.C.C. § 39-06.1-11,14748,of,conduct,e issued for suspensions ordered under subsection 7 of section conduct. 6. a. In addition to any restrictions 
N.D.C.C. § 39-06.2-08,14760,in,,on must be accompanied by an application fee listed in section
N.D.C.C. § 39-06.2-10.4,14770,under,alcohol,"er state refuses, in this state, a test provided under section alcohol concentration of at least four one-hund"
N.D.C.C. § 39-06-14.2,14807,under,individual's,pon an individual's change in citizenship status under section  individual's updated information as required u
N.D.C.C. § 39-06-17,14811,of,,"er 39-20, punishment is as provided in subsection 2 of section"
N.D.C.C. § 39-06-20,14817,in,,"me change, by making an application as provided for in section"
N.D.C.C. § 39-06-34,14834,under,the,"ring is requested, the hearing must be conducted under section  the conclusion of the hearing. Upon the conclu"
N.D.C.C. § 39-07-12,14868,in,officer, been involved in a reportable accident as provided in section officer within twenty-four hours after such mot
N.D.C.C. § 39-08-01.5,14875,with,, dismiss the case and seal the file in accordance with section
N.D.C.C. § 39-10.1-08,14927,to,,against the driving record of the violator pursuant to section
N.D.C.C. § 39-10-19,14972,or,except,"across, or within any such dividing space, barrier, or section, except through an opening in such physical bar"
N.D.C.C. § 39-10-71.1,15042,of,b,ting the motor vehicle at the time of the violation of section b. The motor vehicle was reported stolen before
N.D.C.C. § 39-12-06,15054,by,,"ay be operated on the highways, except as permitted by section"
N.D.C.C. § 39-16.1-20.1,15102,by,,irming the person's insurance coverages as required by section
N.D.C.C. § 39-21-15,15201,of,equipment,or multiple-beam headlamps meeting the requirements of section  equipment which is not equipped with an electr
N.D.C.C. § 39-21-21,15209,of,loading,"light, or composite beam, specified in subsection 2 of section loading. 2. Whenever the driver of a vehicle fo"
N.D.C.C. § 39-21-27,15215,of,being, with safety strobe lights pursuant to subsection 4 of section being operated upon a highway for purposes of t
N.D.C.C. § 39-24.1-04,15310,by,,s deemed not to have withdrawn the consent provided by section
N.D.C.C. § 39-24.1-06,15312,of,,s guilty to violating subdivision c of subsection 5 of section
N.D.C.C. § 39-24.1-07,15313,of,this," has one violation of subdivision c of subsection 5 of section this chapter, the offense is a class B misdemea"
N.D.C.C. § 39-29-12,15399,of,provides,ssed. Violation of section 39-29-02 or subsection 2 of section provides proof of registration since the violat
N.D.C.C. § 39-30-04,15403,of,f, property was used in the commission of a violation of section f. The owner of property may show by a preponde
N.D.C.C. § 4.1-01.1-07,15449,and,,ntinuing basis for grants pursuant to this section and section
N.D.C.C. § 4.1-01-06,15458,under,,ary to execute the functions of the commissioner under section
N.D.C.C. § 4.1-25-11,15853,under,licensee," 4.1-25-13 apply to all milk purchasers licensed under section licensee licensed under section 4.1-25-02, but "
N.D.C.C. § 4.1-26-11,15906,with,the,milk stabilization plan established in accordance with section the milk stabilization plan and the federal mil
N.D.C.C. § 4.1-48-03,16212,under,practice,nduct that constitutes an unfair act or practice under section practice.
N.D.C.C. § 4.1-58-01,16347,in,,ain for sale and which contains the notice provided in section
N.D.C.C. § 4.1-58-05,16352,in,shall,l post a notice containing the procedures specified in section shall provide a copy of the notice to each publ
N.D.C.C. § 4.1-59-01,16403,in,,ain for sale and which contains the notice provided in section
N.D.C.C. § 4.1-72-06,16462,in,,g this section is subject to the remedies set forth in section
N.D.C.C. § 40-01.1-04,16539,to,parties,e township's general authority to contract pursuant to section parties under the terms and conditions of the a
N.D.C.C. § 40-01.1-04,16539,to,subdivisions,he offices of township clerk and treasurer pursuant to section subdivisions pursuant to chapter 11-10.3. e. An
N.D.C.C. § 40-01.1-04,16539,to,parties,k district's general authority to contract pursuant to section parties under the terms and conditions of the a
N.D.C.C. § 40-02-06,16572,by,manner,"ion of witnesses before it, that notice as required by section manner and for the period required by this chap"
N.D.C.C. § 40-02-06.1,16573,in,,ict court in accordance with the procedure provided in section
N.D.C.C. § 40-05.1-03,16611,to,composition,"ter, unless a petition proposing a charter pursuant to section composition of the commission is to be determin"
N.D.C.C. § 40-05.1-07.1,16617,under,,e amended under this section and must be amended under section
N.D.C.C. § 40-05-01,16624,under,,"cts, including floodplain management as provided under section"
N.D.C.C. § 40-18.1-02,16799,of,commission,hree times previously been convicted of a violation of section commission of the offense charged. If the offen
N.D.C.C. § 40-18.1-13,16810,under,there,an ordinance is initiated by a uniform complaint under section there is probable cause to believe a criminal o
N.D.C.C. § 40-21-07,16842,by,,hall also file a statement of interests as required by section
N.D.C.C. § 40-22-08,16879,in,water,"n improvement project of one of the types specified in section water districts, sewer districts, water and sew"
N.D.C.C. § 40-23-24,16957,under,area,re because of a petition to enlarge the district under section area of the property in the district. Audit and
N.D.C.C. § 40-33.2-05,17091,to,premiums,"nts, rates, and charges may be established pursuant to section premiums thereon, without obtaining the consent"
N.D.C.C. § 40-33-04,17107,of,disposition,"ency or institution of the state under subsection 5 of section disposition, and operation of the waterworks, m"
N.D.C.C. § 40-33-07,17110,in,,"n election called, held, and conducted as specified in section"
N.D.C.C. § 40-33-30,17133,in,," electric public utility, have the same meanings as in section"
N.D.C.C. § 40-39-10,17230,in,,he county in accordance with the procedure provided in section
N.D.C.C. § 40-45-09,17285,in,," reaches the age of sixty years, except as provided in section"
N.D.C.C. § 40-45-20,17297,in,therefrom,rd of trustees upon the re-examination provided for in section therefrom. The disabled member shall remain upo
N.D.C.C. § 40-45-27,17304,in,provided,ty shall determine by a two-thirds vote as provided in section provided in section 40-46-25.
N.D.C.C. § 40-46-19,17328,in,therefrom,rd of trustees upon the re-examination provided for in section therefrom. The disabled employee shall remain u
N.D.C.C. § 40-46-25,17334,in,discontinued,ty shall determine by a two-thirds vote as provided in section discontinued in such city and the governing bod
N.D.C.C. § 40-48-16,17370,in,, planning commission for report thereon as provided in section
N.D.C.C. § 40-48-32,17387,in,that,governing body adopting any street map provided for in section that it shall not become effective until a noti
N.D.C.C. § 40-57.1-04.4,17522,under,local,tor is not eligible for the income tax exemption under section local tax obligations and tax liens of record f
N.D.C.C. § 40-57.3-03,17535,under,,ors' promotion capital construction fund created under section
N.D.C.C. § 40-58-11,17578,under,,thority vested with urban renewal project powers under section
N.D.C.C. § 40-58-13,17581,to,municipality,n addition to any authority to issue bonds pursuant to section municipality pursuant to this section must be i
N.D.C.C. § 40-58-20.3,17590,under,file,renewal plan for any development or renewal area under section file an annual report with the department of co
N.D.C.C. § 40-63-03,17627,under,from," of property may be exempted from property taxes under section from property taxes under section 40-63-05, the"
N.D.C.C. § 40-63-04,17628,under,completion,s of personal income tax liability as determined under section completion of rehabilitation. 2. A taxpayer tha
N.D.C.C. § 41-02.1-59,17718,or,though,ases in good faith from a lessee under this section or section though the lessee fails to comply with one or m
N.D.C.C. § 41-02.1-73,17732,of,the,tion 41-02.1-71 or in subdivision a of subsection 3 of section the lessor may require the lessee to assemble t
N.D.C.C. § 41-03-06,17849,of,, order conditional for the purposes of subsection 1 of section
N.D.C.C. § 41-03-15,17858,of,augmented,"on 41-03-04 but, after completion, the requirements of section augmented by completion. 3. If words or numbers"
N.D.C.C. § 41-04.1-17,17928,of,the,pays the beneficiary as stated in subsection 1 or 2 of section the beneficiary has been credited with respect 
N.D.C.C. § 41-04.1-24,17935,in,sender's,ayment order that is erroneously executed as stated in section sender's account was debited with respect to th
N.D.C.C. § 41-04.1-30,17941,of,is,payment of the bank's obligation under subsection 1 of section is satisfied. 3. Except as stated in subsection
N.D.C.C. § 41-04.1-30,17941,of,,igation to pay its payment order under subsection 3 of section
N.D.C.C. § 41-04-31,17980,under,e,"k becomes accountable for the amount of the item under section e. With respect to checks, a cutoff hour no ear"
N.D.C.C. § 41-04-32,17981,in,,ion by the bank with respect to the check described in section
N.D.C.C. § 41-05-12,18003,of,,n the standard practice referred to in subsection 5 of section
N.D.C.C. § 41-08-34,18084,of,subsection,"08-36, or the issuer has complied with subsection 2 of section subsection 4 of section 41-08-36; and g. The tr"
N.D.C.C. § 41-09-07,18110,of,,proceeds of the letter of credit under subsection 3 of section
N.D.C.C. § 41-09-19,18124,of,assignee,r that has received notification under subsection 1 of section  assignee a signed record that releases the acc
N.D.C.C. § 41-09-25,18130,of,priority, issuer's jurisdiction as specified in subsection 4 of section priority of a security interest in an uncertifi
N.D.C.C. § 41-09-34,18141,under,perfected,t in investment property is perfected by control under section perfected by control until: a. The secured part
N.D.C.C. § 41-09-35,18143,under,b,tiveness of the filed financing statement lapses under section b. The twenty-first day after the security inte
N.D.C.C. § 41-09-36,18144,of,period," law of the jurisdiction designated in subsection 1 of section period, it remains perfected thereafter. If the"
N.D.C.C. § 41-09-36,18144,of,apply,in subsection 1 of section 41-09-21 or subsection 3 of section apply: a. The financing statement is effective 
N.D.C.C. § 41-09-47,18156,of,account,cted by control under subdivision c of subsection 1 of section account or uncertificated certificate of deposi
N.D.C.C. § 41-09-50,18159,under,paper,"videncing the chattel paper, and obtains control under section paper; and b. The authoritative copies of the r"
N.D.C.C. § 41-09-73,18182,of,section,ling is an exempt record as defined by subsection 5 of section  section 41-09-94 or 41-09-96 or as part of a c
N.D.C.C. § 41-09-84,18193,under,loss," after proper written demand by the debtor, then under section loss caused to the debtor by such failure. 2. E"
N.D.C.C. § 41-09-87,18196,by,b,dentify the initial financing statement as required by section (b) Identifies an initial financing statement w
N.D.C.C. § 41-09-94,18203,under,under,"ry 1, 2002, if the request so states, has lapsed under section under subsection 1 of section 41-09-93; b. The "
N.D.C.C. § 41-09-119,18228,under,,obligor may waive the right to redeem collateral under section
N.D.C.C. § 41-12-05,18268,in,a,", or account number, as having the powers specified in subsection a. 2. Subject to subsection 3, a power is ex"
N.D.C.C. § 43-02.2-02,18335,under,accountant,"tificate as ""certified public accountant"" issued under section accountant issued after examination under the l"
N.D.C.C. § 43-02.2-02,18335,under,states,"s a permit to practice public accountancy issued under section states. 8. ""Practice of"" or ""practicing"" public"
N.D.C.C. § 43-02.2-08,18343,under,secretary,m not a resident of this state for a certificate under section secretary of state as the applicant's agent upo
N.D.C.C. § 43-02.2-12,18347,of,on,"ction 43-02.2-04.1 or subdivision b of subsection 1 of section on financial statements of any other person, fi"
N.D.C.C. § 43-07-10,18498,in,,ll pay to the registrar the renewal fee established in section
N.D.C.C. § 43-12.1-04,18670,under,administration, or secondary school under a program established under section administration and has received written consent
N.D.C.C. § 43-12.1-09.1,18678,by,,cord check must be conducted in the manner provided by section
N.D.C.C. § 43-12.1-11,18680,in,,ter or grounds for disciplinary action as set forth in section
N.D.C.C. § 43-13-21.1,18729,in,adversely,require a physical or mental evaluation as provided in section adversely affect the public welfare. 6. Discipl
N.D.C.C. § 43-13-30,18739,of,,hen such professional services are within the scope of section
N.D.C.C. § 43-15.4-06,18778,under,,e continuing education requirements of the board under section
N.D.C.C. § 43-15-25.2,18814,of,, conduct laboratory tests provided in subsection 24 of section
N.D.C.C. § 43-17.5-11,18879,of,model,tates are subject to the process under subsection 3 of section model compact and whether they qualify for part
N.D.C.C. § 43-18.2-02,18953,in,,wer and water contractors and installers as defined in section
N.D.C.C. § 43-18-11.3,18977,under,advertise," this section, if a plumbing license is required under section advertise as a plumbing contractor, master plum"
N.D.C.C. § 43-23-04,19149,under,commission," the legislative assembly is entitled to receive under section commission in the annual budget process, for ea"
N.D.C.C. § 43-26.1-02,19204,in,provided,er is entitled to mileage reimbursement as provided in section provided by law for state officers in section 4
N.D.C.C. § 43-28-06,19239,of,that,edicine has entered an agreement under subsection 6 of section that contract. Records of an alternative to dis
N.D.C.C. § 43-28-06,19239,of,, to exceed five thousand dollars for each violation of section
N.D.C.C. § 43-30-02.2,19323,under,,y be voluntarily registered as security officers under section
N.D.C.C. § 43-30-10,19334,with,injunction,"court may impose an administrative fee consistent with section injunction, impose administrative fees, or seek"
N.D.C.C. § 43-34-03.2,19427,in,,cord check must be conducted in the manner provided in section
N.D.C.C. § 43-36-08,19446,with,,shall deposit and disburse the same in accordance with section
N.D.C.C. § 43-40.1-05,19505,in,except,apy assistant meets the pertinent criteria outlined in section except for: (1) A federal bureau of investigati
N.D.C.C. § 43-41-04.2,19542,in,,cord check must be conducted in the manner provided in section
N.D.C.C. § 43-47-06.3,19627,of,check,"plicant for licensure under subsections 2, 3, and 4 of section  check and may require a licensee to submit to "
N.D.C.C. § 43-62-04,19772,of,c, of and currently licensed pursuant to subsection 2 of section c. Be currently certified by a certification or
N.D.C.C. § 44-04-15,19848,by,irregularity,"rds of that officer's office in the manner provided by section irregularity by the proper board, the state's a"
N.D.C.C. § 44-04-18,19852,of,may,entity as defined in subdivision a of subsection 13 of section may establish procedures for providing access f
N.D.C.C. § 44-04-18.6,19858,to,,pply to any record distributed at a meeting subject to section
N.D.C.C. § 44-04-18.20,19871,by,,tion 44-04-18.7 or correctional facility as defined by section
N.D.C.C. § 44-04-21,19893,to,,e kept of all open meetings and are records subject to section
N.D.C.C. § 44-04-21.1,19894,of,is,entity as defined in subdivision a of subsection 13 of section is brought under section 44-04-21.2 or is reaso
N.D.C.C. § 44-06.1-03,19914,of,,The prohibition under subdivision b of subsection 7 of section
N.D.C.C. § 44-06.1-28,19941,under,a, a technology fee when performing a notarial act under section a. The notary incurred fees for using technolog
N.D.C.C. § 44-09-04,19982,in,,cts claimed to constitute one of the offenses named in section
N.D.C.C. § 45-10.2-21,20065,to,entitled,"ate, in a meeting by remote communication according to section entitled to participate by remote communication"
N.D.C.C. § 45-10.2-21,20065,to,c,"ed to participate by remote communication according to section c. A copy, facsimile telecommunication, or othe"
N.D.C.C. § 45-10.2-25,20069,of,partnership,person admitted under subdivision b of subsection 3 of section partnership must be signed by that person. d. A
N.D.C.C. § 45-10.2-25,20069,of,signed, a person pursuant to subdivision d of subsection 1 of section signed by that person. l. A statement of withdr
N.D.C.C. § 45-10.2-54,20098,of,distribution,r that consents to a distribution made in violation of section distribution which exceeds the amount that coul
N.D.C.C. § 45-10.2-98,20142,to,any,"organization is a limited partnership, then subject to section  any time before the effective date of the plan"
N.D.C.C. § 45-10.2-108,20152,of,or, report must be signed as provided in subsection 40 of section or number of partners. If the limited partnersh
N.D.C.C. § 45-10.2-108,20152,in,,n annual report and a reinstatement fee as provided in section
N.D.C.C. § 45-10.2-111,20156,to,foreign,oluntarily dissolves a limited partnership pursuant to section foreign limited partnership and if reinstatemen
N.D.C.C. § 45-11-04,20168,by,,tate until they have filed the certificate required by section
N.D.C.C. § 45-15-02,20199,under,a,of initial transfer did not bind the partnership under section a. As to a subsequent transferee who gave value
N.D.C.C. § 45-18-03,20222,of,c,duty of loyalty under subdivision c of subsection 2 of section c. The partner's duty of loyalty under subdivis
N.D.C.C. § 45-18-03,20222,of,with, loyalty under subdivisions a and b of subsection 2 of section with regard to matters arising and events occur
N.D.C.C. § 45-20-01,20228,of,partnership, under paragraph 1 of subdivision b of subsection 2 of section partnership business; b. The express will of al
N.D.C.C. § 45-22-03,20252,in,authenticated,must be accompanied by payment of the fees provided in section authenticated by the registering officer of the
N.D.C.C. § 45-22-10,20260,of,directors,lity partnership which would have been in violation of section directors is liable to the domestic limited lia
N.D.C.C. § 45-22-15,20265,under,the,stic limited liability partnership had in effect under section the partnership's own registration under sectio
N.D.C.C. § 45-22-22,20274,in,b,"ign limited liability partnership, the fee provided in section b. A certificate certifying a copy or reciting "
N.D.C.C. § 46-05-04,20369,in,board,"and the method of calculating the same provided for in section board of county commissioners, reports, electio"
N.D.C.C. § 47-01-03,20387,in,have,"ed to land, including manufactured homes as defined in section have been satisfied; 3. That which is incidenta"
N.D.C.C. § 47-30.2-37,21028,under,a,may decline to take custody of property reported under section a. The property has a value less than the estim
N.D.C.C. § 47-30.2-53,21044,under,,sh a claim that has been denied or deemed denied under section
N.D.C.C. § 47-30.2-57,21048,under,and,agent in the course of conducting an examination under section and 47-30.2-73 and are confidential records. Ho
N.D.C.C. § 47-30.2-59,21050,of,,procedures and standards adopted under subsection 1 of section
N.D.C.C. § 47-32-05,21081,under,because,ho was subjected to domestic violence as defined under section because of a domestic violence incident may mov
N.D.C.C. § 47-36-11,21107,under,communications,trust instrument or a certification of the trust under section communications to the trustee; 3. A certificati
N.D.C.C. § 48-08-07,21206,of,ordinance,or part of any public building under the provisions of section ordinance or by resolution of the board of coun
N.D.C.C. § 49-11-17,21459,or,foreman," a ten-day notice served on an officer, roadmaster, or section foreman of the operating company has designated"
N.D.C.C. § 49-23-04,21663,by,number,"way intersection; or (4) A specific quarter section by section number, range, township, and county. In this ca"
N.D.C.C. § 49-23-04,21663,or,corner,"measured in feet from the nearest one-fourth corner or section corner. 2. Unless otherwise exempted, the ticke"
N.D.C.C. § 49-23-04,21663,of,service, careful digging practices required by subsection 5 of section service commission determines the additional lo
N.D.C.C. § 49-23-04.1,21664,by,number,"way intersection; or (4) A specific quarter section by section number, range, township, and county. In this ca"
N.D.C.C. § 49-23-04.1,21664,or,corner,"red in feet from the nearest quarter section corner or section corner. 2. Unless otherwise exempted, the ticke"
N.D.C.C. § 5-01-06.1,21683,under,alcoholic,ated individual has a claim for relief for fault under section alcoholic beverages to an individual under twen
N.D.C.C. § 50-01.1-02,21758,in,,nty commissioners shall submit a plan as prescribed in section
N.D.C.C. § 50-06-05.1,21893,under,treatment," by the judge of a juvenile court. A court order under section treatment, if available, at the state hospital "
N.D.C.C. § 50-06-22,21939,under,providing, gambling disorder prevention and treatment fund under section providing the services under section 50-06-21.
N.D.C.C. § 50-09-36,22031,under,,e has expired for requesting a review by a court under section
N.D.C.C. § 50-17-02,22177,of,other,greements made by the governor under the provisions of section other conditions or provisions as the governor 
N.D.C.C. § 50-24.1-02.8,22217,in,b, section does not apply to: a. An annuity described in subsection b or q of section 408 of the Internal Revenu
N.D.C.C. § 50-24.1-02.8,22217,in,a,"th proceeds from: (1) An account or trust described in subsection a, c, or p of section 408 of the Internal Re"
N.D.C.C. § 50-24.1-02.8,22217,of,k,2) A simplified employee pension within the meaning of subsection k of section 408 of the Internal Revenue Cod
N.D.C.C. § 50-24.4-24,22305,in,rejected,"ermines that the report or the information required in section rejected pursuant to this chapter, the departme"
N.D.C.C. § 50-24.5-01,22312,under,established,and is eligible to receive and receives benefits under section established under title XIX of the Social Secur
N.D.C.C. § 50-25.1-09.1,22381,to,neglect,"individual required or permitted to report pursuant to section neglect, or a report of a death resulting from "
N.D.C.C. § 50-25.1-11,22383,with,,otection team makes a determination in accordance with section
N.D.C.C. § 50-25.1-17,22391,under,a,test does not eliminate the obligation to report under section a controlled substance for a nonmedical purpose
N.D.C.C. § 50-25.2-04,22402,under,adversely,d by the department or the department's designee under section adversely affect or may have adversely affected
N.D.C.C. § 51-07-16,22530,in,kilograms],"vehicle"" means a passenger motor vehicle as defined in section kilograms] or less which is sold or leased in t"
N.D.C.C. § 51-08.1-09,22558,under,between,t person in any other action against that person under section between the parties thereto. This section does 
N.D.C.C. § 51-19-05,22667,in,without,may by order deny or revoke any exemption specified in section without appropriate prior notice to all interes
N.D.C.C. § 51-19-09,22671,under,prompted,mmissioner may vacate or modify an order entered under section prompted its entry have changed or that it is o
N.D.C.C. § 51-23-07,22705,of,," or 51-23-04, or subdivision b or d of subsection 1 of section"
N.D.C.C. § 51-25.1-01,22730,in,ii(jj,"Participating manufacturer"" has the same meaning as in section II(jj) of the master settlement agreement of 19"
N.D.C.C. § 51-25.1-05,22734,of,those,"istributor has violated subsection 4, 6, 7, 8, or 9 of section those subsections, the attorney general may rev"
N.D.C.C. § 51-25.1-05,22734,of,enforcement,"sumption in this state in violation of subsection 4 of section enforcement officer, and forfeiture as follows:"
N.D.C.C. § 51-25.1-05,22734,of,," state in violation of subsection 4, 7, 8, 9, or 10 of section"
N.D.C.C. § 51-25.1-06,22735,under,manufacturer,t an escrow deposit for the sale is not required under section manufacturer claiming the exemption. To establi
N.D.C.C. § 51-25-01,22736,of,ii(mm,ct to such cigarettes as a result of the provisions of subsection II(mm) of the master settlement agreement an
N.D.C.C. § 51-25-01,22736,in,ii(z,"lement agreement and which pays the taxes specified in subsection II(z) of the master settlement agreement, an"
N.D.C.C. § 51-25-02,22737,in,ii(jj,"participating manufacturer, as that term is defined in section II(jj) of the master settlement agreement, and "
N.D.C.C. § 51-25-02,22737,to,ix(i,"ttlement agreement payments, as determined pursuant to section IX(i) of that agreement, including after final "
N.D.C.C. § 51-36-04,22831,of,within,ter lacks the information described in subsection 1 of section within a reasonable period of time. 3. The pers
N.D.C.C. § 52-01-01,22842,under,c,tified for any year by the social security board under subsection c of section 3304 of the federal Internal Re
N.D.C.C. § 52-01-03,22844,in,c,er of the currency of the United States as provided in subsection c of section 3305 of the federal Internal Re
N.D.C.C. § 52-04-06,22889,under,,nd the negative employer maximum rate determined under section
N.D.C.C. § 52-04-19.1,22908,in,wages,hat employer the rate of contributions provided for in section wages paid by that employer. 4. Elections and c
N.D.C.C. § 52-06-02,22920,of,institution,"ices to which subdivisions f and g of subsection 17 of section institution, benefits are not payable under the"
N.D.C.C. § 52-07.1-07,22968,under,, amount equal to the aggregate of the reductions under section
N.D.C.C. § 52-10-03,22995,in,officials,"all services which constitute employment as defined in section officials, shall be covered by the agreement, n"
N.D.C.C. § 52-10-05,22999,in,employees,"all services which constitute employment as defined in section employees thereof, shall be covered by the plan"
N.D.C.C. § 53-06.1-01,23079,under,consumed,"e establishment"" means an establishment licensed under section consumed by guests on the premises. The term do"
N.D.C.C. § 53-06.1-06,23092,by,,nization or distributor and charge a fee prescribed by section
N.D.C.C. § 53-12.1-12,23180,under,," valid, unless a review by a court is authorized under section"
N.D.C.C. § 54-03-20,23335,in,claimed," of meeting of the legislative assembly as provided in section claimed, provided that the total reimbursement "
N.D.C.C. § 54-03-23,23341,in,under,tled to current supplements and volumes as provided in section under this section is not subject to section 46
N.D.C.C. § 54-06-14,23380,of,section,ied as a hard-to-fill occupation under subsection 5 of section section 54-06-31. Sick leave for an employee en
N.D.C.C. § 54-10-15,23471,in,school,"ed electors of any political subdivision enumerated in section school districts, upon petition of at least thi"
N.D.C.C. § 54-10-29,23487,and,, to the confidentiality provisions of this section and section
N.D.C.C. § 54-12-14.1,23531,of,, activities listed in subdivision a of subsection 1 of section
N.D.C.C. § 54-17.5-02,23641,under,relating,ve per diem compensation at the rate as provided under section relating to the official business of the lignit
N.D.C.C. § 54-24.2-03,23856,under,formula,"ding, public libraries eligible to receive funds under section formula: Cities levying 8.00 or more mills 150 "
N.D.C.C. § 54-27-23,23932,under,cash,agement and budget shall order budget allotments under section cash flow financing. It is the intent of the le
N.D.C.C. § 54-27-25,23934,under,ix(c)(1,tobacco settlement dollars obtained by the state under subsection IX(c)(1) of the master settlement agreement 
N.D.C.C. § 54-27-25,23934,under,ix(c)(1,"Philip Morris, Inc. Moneys received by the state under subsection IX(c)(1) must be deposited in the fund. Mone"
N.D.C.C. § 54-34.4-05,24007,in,,ing that may be used to promote the policies listed in section
N.D.C.C. § 54-40-03,24138,in,, and interest fund for the county bonds as provided in section
N.D.C.C. § 54-44.4-02,24213,under,,d budget or as a cooperative purchasing contract under section
N.D.C.C. § 54-44.8-05,24260,of,,rvice that fulfills the requirement of subsection 2 of section
N.D.C.C. § 54-46.1-01,24296,by,,ency to use the services of a contractor as allowed by section
N.D.C.C. § 54-52.1-03.2,24335,to,education, in the public employees retirement system pursuant to section education who elect to participate in the publi
N.D.C.C. § 54-52.1-03.2,24335,under,the,on the first of the month following the transfer under section  the state board for career and technical educa
N.D.C.C. § 54-52.1-03.3,24336,under,the, program established by job service North Dakota under section the plan provisions of that retirement program 
N.D.C.C. § 54-52.1-04.9,24348,under,,6. The board shall receive bids for this program under section
N.D.C.C. § 54-52.1-06,24361,to,,led in the uniform group insurance program pursuant to section
N.D.C.C. § 54-52.1-13,24372,to,, 54-52.1-04 or under a self-insurance plan pursuant to section
N.D.C.C. § 54-52.2-03.4,24384,under,expenses,ds from the payroll clearing account established under section expenses. 2. All money in the payroll clearing 
N.D.C.C. § 54-52.6-15,24435,under,chapter,rovide information to employees who are eligible under section chapter. The information must include at a mini
N.D.C.C. § 54-52-01,24444,under,,rement to the public employees retirement system under section
N.D.C.C. § 54-52-06,24464,to,appropriated,"onthly, or in the case of an election made pursuant to section appropriated for payroll and salary or any othe"
N.D.C.C. § 54-52-17.4,24490,under,this, to the retiree health benefits fund established under section This contribution must be recorded as a member 
N.D.C.C. § 54-52-17.4,24490,to,, must be recorded as a member contribution pursuant to section
N.D.C.C. § 54-54-08.2,24528,to,, investment of those funds can be expended pursuant to section
N.D.C.C. § 54-57-03,24539,to,resources,"nt to chapter 28-32. But, appeals hearings pursuant to section resources pursuant to chapter 61-32 must be con"
N.D.C.C. § 54-57-04,24541,under,hearings,shall comply with the duties of hearing officers under section hearings of administrative agencies not under c
N.D.C.C. § 54-57-07,24544,under,,als and lodging must be in the amounts allowable under section
N.D.C.C. § 54-59-16,24575,by,or,"nvolved. Except for a request for access authorized by section or 54-59-13, the department shall refer a reque"
N.D.C.C. § 54-59-20,24579,with,, to a criminal history record check in accordance with section
N.D.C.C. § 55-05-01,24768,of,twenty-five,"arter, and lots numbered one, two, three, and four, of section twenty-five in township one hundred sixty-four "
N.D.C.C. § 55-05-01,24768,of,twenty-five," tract or parcel of land lying and being in lot one of section twenty-five, township one hundred sixty-four no"
N.D.C.C. § 55-05-01,24768,of,thirty-six," and being in Rolette County, North Dakota. And all of section thirty-six, in township one hundred sixty-four "
N.D.C.C. § 57-02.3-01,24873,under,,uding a mortgage assigned to the state treasurer under section
